GeneFamily	SRR4096731	SRR4096732	SRR4096733	SRR4096734	SRR4096735	SRR4096736	SRR4096737	SRR4096738	SRR4096739	SRR4096740	SRR4096741	SRR4096742	SRR4096743	SRR4096744	SRR4096745	SRR4096746	SRR4096747	SRR4096748	SRR4096749	SRR4096750	SRR4096751	SRR4096752	SRR4096753	SRR4096754	SRR4096755	SRR4096756	SRR4096757	SRR4096758	SRR4096759
K00001	609.8437475921	432.7233960888	360.3425395273	152.1822126464	60.4823160587	504.9450366803	296.4593619755	254.6309541085	349.4729660028	267.8158558991	407.5539332204	297.4150736779	740.6266471855	241.8693803276	362.4917404388	166.2289944117	294.2557010478	306.7573167361	78.8227366918	393.2379058049	14.0745338882	515.9839687600	279.1553191536	306.4158942780	101.4398378312	280.2587305468	412.4352715792	293.0778321298	108.0382684577
K00003	415.1745303628	153.3269269954	197.5391796802	329.0873908152	54.4307859659	332.9358108218	451.7624889334	166.0457927315	158.6439049019	1148.3924510266	621.1935450603	134.9133595583	445.6940105874	138.3529561007	1236.8407831953	567.2365050377	674.6210697983	365.1042677826	1106.2083770985	735.5063354088	200.1374928198	121.9014640990	143.9508315720	185.7857313063	76.7314620440	173.3498883084	283.7256123037	119.0658006394	59.3118008385
K00004	0	0	7.7956450996	0	0	0	0	0	0	0	0	0	0	0	0	16.7253549165	0	0	0	0	0	0	0	0	0	0	0	0	0
K00005	133.0096709501	62.5728581042	61.8558130304	150.4506074240	33.4653862281	128.2824701609	165.9301506140	94.0763601701	49.2075536438	621.7959451692	301.2753619015	40.0851344259	56.9326090076	107.0178078730	371.4474940002	187.7495877431	369.0227663207	104.3266705315	698.4030997275	446.6584969756	108.6176842942	50.3164002000	91.2745181576	101.8657977986	21.3828039187	100.8316800155	84.5960517038	148.5837900667	28.9040724682
K00007	0	0	0	0	0	0	0	0	0	59.8756038808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00008	254.7491922472	362.9591326231	131.1854474686	241.4510359712	49.9116401653	211.8720600516	335.6831389974	163.8418206329	378.8475505049	336.0837506302	271.2991680340	372.8121358985	208.1964549452	169.2965018461	231.4141153399	271.9945837677	194.0160205395	419.4131170412	334.4312610065	243.1864990633	51.0604474394	295.4373455243	315.6955339743	269.6818180813	119.7277329261	312.9847336718	340.7064491250	244.9706893341	76.5734337518
K00009	216.6367386109	25.0029973538	106.3942467910	506.5550141564	63.9419693288	186.1907853229	531.2470868928	198.5738390232	164.6614776687	1510.3773431747	645.5455739488	116.0908188542	211.7254881821	138.3412736602	2297.7136606121	854.7996078077	948.7434223221	318.0090474833	1681.0440056729	892.6672700916	274.7869937531	208.0469057609	46.5184723724	87.6537689648	42.0958700433	130.9849577683	182.2619220691	112.3561069477	78.4828192765
K00010	55.0534101112	0	26.3860835451	30.5076103679	0	0	58.0474398145	44.6525249526	0	49.8133258421	45.7679363786	0	23.4022918850	0	28.5669748983	60.6270984603	44.8403100364	0	19.2280025131	0	0	0	0	0	0	69.2593299750	0	43.8047153562	0
K00012	2361.8897348844	2507.1496984036	1653.1382519566	1359.3332270455	343.2005571878	2353.4898168577	1813.9902047733	1860.2043143522	2587.2167187973	1340.1434102962	2362.8641796311	2037.5641827213	2326.0217795818	1592.2434557635	1675.4808986370	1272.7443955352	1691.4952062875	2262.5504316990	761.3023561502	2115.9280142852	147.7559764134	2844.6696782546	2002.0639508975	1695.2815079569	639.4577903811	1906.3249828839	1992.5644480592	1741.5495372934	274.8530844429
K00013	1052.0776243893	969.6230374584	707.6000434606	565.6886322421	150.9675996383	988.2499109737	715.0940124179	753.7736333893	884.6601844744	772.7635906870	983.3188826938	727.6325240075	1153.8214272042	669.2500163389	689.6264713181	573.5112020052	616.1277062582	867.4879755429	211.0555794245	716.5796309426	30.2033310196	937.2525850677	793.2027068959	727.8132878230	240.6485969407	754.6150338609	855.6115364586	721.4281363165	166.1194246911
K00014	870.0767354464	488.5851134654	464.3584442058	294.7189100018	67.8701141967	553.2199034854	389.7677064944	394.4808271578	511.4818017460	505.0907106899	564.4843085457	377.1837139514	956.4833882544	392.4071914497	359.6404549900	296.0818676298	325.9096495156	389.6028685482	443.0826359685	626.0353515895	64.4773512671	505.6645520424	399.4905932116	410.2651696790	177.1609117362	493.9921426371	557.6772653694	473.9730616283	110.2003742757
K00016	1046.1769969668	127.8360786142	436.1263173011	2088.3320287248	133.1965463905	767.7489407221	5886.3803134001	392.1764726794	930.8508576386	13604.2714343495	5104.8911146907	778.9966078212	1014.5786299648	276.3085215588	12699.5771042090	7175.2089263866	4343.6819140340	3455.7512236946	6301.6607512907	2644.8178204557	1068.3888277531	1468.9081221085	131.2296410995	268.4262499808	87.5564233249	479.0790513900	743.2034656529	578.0495282562	275.8461943287
