GeneFamily	SRR5451791	SRR5451792	SRR5451801	SRR5451802	SRR5451803	SRR5451804	SRR5451805	SRR5451806	SRR5451807	SRR5451808	SRR5451809	SRR5452015	SRR5452016	SRR5452017	SRR5452018	SRR5452019	SRR5452020	SRR5452021	SRR5452022
K00001	22.7436238541	0	0	11.9969332609	6.3632353024	13.7282718008	12.9808306957	659.5616584137	8.3643720315	5.8636825161	0	1603.9715913341	0	0	0	17.2706085751	295.7182085247	1175.9660278007	0
K00003	154.5267316549	13.6334538386	43.9768955823	64.9161610306	46.3908887369	102.2052943675	29.4080634303	1835.4421162967	15.9472579108	12.6231671209	44.5918161684	2082.5505657538	11.6998286081	13.7751389346	205.5134985749	33.7496896881	571.1510320549	1161.8312120010	47.3600585868
K00004	0	0	0	0	0	0	6.9393231822	11.7024389683	4.9208757850	0	0	38.8721776843	0	0	0	0	0	4.8886692152	0
K00005	0	0	14.1687751158	83.3033673621	14.0241579501	0	20.8014079326	38.6205198045	0	5.5668394026	13.1746186257	52.9184728983	0	0	0	7.5486116930	12.9822297645	11.9193322561	0
K00008	0	0	0	49.5720860949	13.6078993508	19.4621867270	0	0	0	0	10.7402232389	711.5433816688	0	0	0	0	18.3557616155	358.8486995032	19.5258148384
K00009	0	0	7.1028851744	65.4703696219	14.8453206889	11.5945112428	18.6715393535	20.6591873631	6.1352836296	0	11.3391090498	538.9349370616	0	0	0	11.8580907143	11.7349542765	238.5411203540	0
K00010	0	0	0	0	0	0	0	0	0	0	0	5.1139437708	0	0	0	0	0	0	0
K00012	1326.1826451986	640.5349000187	1058.6035399803	1924.3301652976	1702.7188868310	1664.5802038600	991.8607276080	972.6009777705	354.7728013923	723.3194599559	983.1303355382	950.3290626796	529.6665074115	1142.7870586859	842.3232131822	1034.8051156309	1031.9745364133	1018.8909139623	1792.1171593201
K00013	287.5903231608	80.4641903508	146.3836703567	435.7612931258	258.8128640075	339.7744759872	183.9177236090	2159.4189059109	50.8163199951	125.1109500127	201.6341654421	2101.2089830442	61.8235641767	85.8168193183	244.8603924995	169.9594981257	692.6120595538	1284.2224513497	332.1557052543
K00014	35.1477116483	18.3947877499	22.7421202313	101.8284206417	32.9827414119	96.1616542277	29.7944071934	344.3611751503	16.3992421556	15.3944038298	76.2156905597	590.5452968358	0	0	28.6518722099	8.8506170340	147.1752497366	318.5740094581	54.6499277080
