"A001"	"A003"	"A006"	"A007"	"A010"	"A011"	"A013"	"A015"	"A018"	"A020"	"A021"	"A024"	"A025"	"A028"	"A029"	"A031"	"A034"	"A035"	"A037"	"A039"	"A081"	"A082"	"A083"	"A084"	"A085"	"A086"	"A091"	"A093"	"A094"	"A098"	"A099"	"A100"	"A101"	"A107"	"A108"	"A109"	"A116"	"A118"	"A119"	"A120"
"337735"	0	2.38095238095238e-05	0	0	0	0	0	0	4.76190476190476e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0
"4474844"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"355450"	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"189592"	0.000166666666666667	0.000380952380952381	4.76190476190476e-05	0.000261904761904762	0.000904761904761905	7.14285714285714e-05	0	0.000142857142857143	4.76190476190476e-05	0.000238095238095238	7.14285714285714e-05	0	9.52380952380952e-05	9.52380952380952e-05	0	0	0.00030952380952381	2.38095238095238e-05	0.000119047619047619	0.000452380952380952	0.000261904761904762	4.76190476190476e-05	0	0.000142857142857143	2.38095238095238e-05	0.000214285714285714	0.000666666666666667	0	0	4.76190476190476e-05	0.00019047619047619	0.000285714285714286	0.00123809523809524	4.76190476190476e-05	0.000142857142857143	0.000166666666666667	2.38095238095238e-05	7.14285714285714e-05	0.000119047619047619	9.52380952380952e-05
"354275"	0	0	0	0	4.76190476190476e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"254376"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	4.76190476190476e-05	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	2.38095238095238e-05	0	0
"183857"	0	0	0	2.38095238095238e-05	0	2.38095238095238e-05	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	2.38095238095238e-05	0	0	0	0
"4343580"	0	0	4.76190476190476e-05	2.38095238095238e-05	0	0	0	0	2.38095238095238e-05	0	0	0	4.76190476190476e-05	0	0	0	0	0	0	2.38095238095238e-05	0	0	4.76190476190476e-05	0	0	4.76190476190476e-05	4.76190476190476e-05	2.38095238095238e-05	7.14285714285714e-05	0	2.38095238095238e-05	2.38095238095238e-05	2.38095238095238e-05	4.76190476190476e-05	0	0	0	2.38095238095238e-05	0	0
"523051"	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"198956"	0	2.38095238095238e-05	0	2.38095238095238e-05	0	2.38095238095238e-05	0	0	0	2.38095238095238e-05	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4454531"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0
"177319"	0	7.14285714285714e-05	2.38095238095238e-05	0	0	0	2.38095238095238e-05	0	2.38095238095238e-05	0	4.76190476190476e-05	2.38095238095238e-05	2.38095238095238e-05	0	0	0	0	0	0	0	4.76190476190476e-05	0	0	7.14285714285714e-05	7.14285714285714e-05	0	0	2.38095238095238e-05	0	0	0	4.76190476190476e-05	0.000142857142857143	4.76190476190476e-05	2.38095238095238e-05	0	0	0.000380952380952381	0	7.14285714285714e-05
"505587"	9.52380952380952e-05	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.76190476190476e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"194104"	5e-04	0.000142857142857143	4.76190476190476e-05	0.000142857142857143	0.000333333333333333	0.000119047619047619	0	4.76190476190476e-05	0.000214285714285714	0.000357142857142857	0	0	0.000142857142857143	4.76190476190476e-05	0	4.76190476190476e-05	0.000238095238095238	4.76190476190476e-05	0.000166666666666667	0.000285714285714286	2.38095238095238e-05	2.38095238095238e-05	2.38095238095238e-05	7.14285714285714e-05	0	0	0.000142857142857143	0	0	0	0.000833333333333333	2.38095238095238e-05	0	4.76190476190476e-05	2.38095238095238e-05	9.52380952380952e-05	0	0.000547619047619048	0	9.52380952380952e-05
"194107"	0	4.76190476190476e-05	0	0	4.76190476190476e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	4.76190476190476e-05	2.38095238095238e-05	0	0	2.38095238095238e-05	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	4.76190476190476e-05	0	0
"2949328"	7.14285714285714e-05	7.14285714285714e-05	0.000833333333333333	0.000261904761904762	0.000452380952380952	2.38095238095238e-05	0.00235714285714286	0.000357142857142857	0.00292857142857143	0.000976190476190476	0.00114285714285714	0.000547619047619048	0.00121428571428571	0	0	0	0.000166666666666667	2.38095238095238e-05	0	0.000785714285714286	0.00202380952380952	0	0	0.00069047619047619	0	0	4.76190476190476e-05	0.00169047619047619	0.00495238095238095	0	0	0.00030952380952381	4.76190476190476e-05	0.000476190476190476	4.76190476190476e-05	0.000214285714285714	4.76190476190476e-05	4.76190476190476e-05	0.000904761904761905	0.000452380952380952
