"BulkAG1"	"BulkAG2"	"BulkAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"K01361"	1.31219346536895e-05	1.38320291796672e-05	1.51120476516552e-05	9.64944929214397e-06	1.10848999414579e-05	5.82766839382198e-06	1.08790680057855e-05	1.01876427350146e-05	1.46255994644439e-05	1.11554111293113e-05	1.1770057580409e-05	1.36028241730121e-05	1.00867361116132e-05	8.6080258729086e-07	1.337162257771e-05	1.51427507109521e-06	1.1462492362109e-05	1.2490206771344e-05	1.11953785477355e-05	1.18534436212552e-05	1.33863038843099e-05	1.24985548545949e-05	1.26157049378374e-05	1.21693029634465e-05	1.15503611678451e-05	1.1166663044148e-05	1.10510703112293e-05
"K01360"	0	0	0	0	0	0	0	0	1.85134170435998e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K01362"	0.00113920570711749	0.00113546650569364	0.0011152113636438	0.00145647606050402	0.00148032900378916	0.00146857243524314	0.00122156392179248	0.00122424538902287	0.00124993335169864	0.00118516626515201	0.00121893658817111	0.00123058326737381	0.00124102559433415	0.00134809510647815	0.00123513494577395	0.00133367784419512	0.00145835078263183	0.00144654725357477	0.00144840209961328	0.00143959068251023	0.00145586195881176	0.00145527528218259	0.00147785413923802	0.00145035965318895	0.00147725136453577	0.00149294296806314	0.00142126810629964
"K02249"	3.97354359231443e-06	4.2926987109312e-06	4.90900910977334e-06	1.7723478291693e-06	1.8804740972116e-06	8.59819926957342e-07	3.83967106086546e-06	3.82036602563047e-06	5.92429345395195e-06	4.51986485411752e-06	3.67814299387782e-06	4.62873878109438e-06	3.03494714862699e-06	1.56509561325611e-07	4.67090925659732e-06	5.57890815666658e-07	1.91041539368483e-06	2.31673190113639e-06	1.69929852956699e-06	2.0090582408907e-06	3.04234179188861e-06	1.71351155264608e-06	2.11943842955668e-06	1.81030953175238e-06	1.8918695016298e-06	1.99404697216929e-06	1.50696413334945e-06
"K05841"	2.28247736581782e-05	2.81410248827712e-05	2.80102284498832e-05	8.07402899954904e-06	8.61059191881103e-06	8.78927036445283e-06	1.70956782948057e-05	1.54633862942186e-05	1.20337210783399e-05	1.39442639116391e-05	1.65516434724502e-05	1.48308569108534e-05	1.45498936831235e-05	1.01731214861647e-06	1.29136902976514e-05	2.78945407833329e-06	1.26690705054889e-05	1.14829320317195e-05	9.2961625441018e-06	1.1451631973077e-05	8.92420258953992e-06	1.14906068824502e-05	1.04962665082807e-05	1.06607116869862e-05	1.02559241404142e-05	1.12663653927565e-05	1.21561773423522e-05
"K05844"	6.62565292020801e-05	7.01140789452095e-05	7.01699537455836e-05	7.26662609959413e-05	7.30415728285349e-05	6.87855941565873e-05	6.74685057837788e-05	6.29450783270544e-05	5.83172636873395e-05	5.26035335149421e-05	6.57468060155661e-05	6.65026959569478e-05	6.49835742411896e-05	5.94736333037322e-06	6.08134067917768e-05	1.17157071289998e-05	8.16451210353727e-05	8.34023484409099e-05	7.84676085711818e-05	7.98600650754055e-05	8.29545195254961e-05	8.33572972963711e-05	7.90247757306133e-05	8.34753839641374e-05	7.85623703571531e-05	8.23541399505915e-05	7.97686347919641e-05
"K05845"	0.000376562561364681	0.000364497817210402	0.000370485805167011	0.000232768348230901	0.000226943531837169	0.000226705854074419	0.000347124548050146	0.000337465665597358	0.000339813769835275	0.000353414964657061	0.000345837394999362	0.000337992395076647	0.000347947764274941	0.000489796672168499	0.000359934772126028	0.000476359057891374	0.000222513119274975	0.000222708444930981	0.00022390757095471	0.00022591859918816	0.000221583893842554	0.000217011198402765	0.000213255876269203	0.000221461199384374	0.000220950443374554	0.000214758858902632	0.000224839048695738
"K05846"	0.000588361675634092	0.000589912196186634	0.000597840305505925	0.000505316058849825	0.000490902711693134	0.000496975917781344	0.000555106730513692	0.000548859252348911	0.000519949317669501	0.000583351068193124	0.000556962802847949	0.000549497418155633	0.000546915328812869	0.00102646795795402	0.000552815848486694	0.000983322411956461	0.000495501424214676	0.000498399541166211	0.000507590466655365	0.000508593093681482	0.000494481952574962	0.00048512535899327	0.000479497713277323	0.000497935693983668	0.000483522015784963	0.000476577226348459	0.000501316735027583
"K05847"	0.000433208659552792	0.000425072565686876	0.000432570332143556	0.000287120348325427	0.000282170086902646	0.000275333447721229	0.000420443981164768	0.00040877916474246	0.000411645827964442	0.00043323385463403	0.000418112904829062	0.000418664699547149	0.00041730523293621	0.000492457334711035	0.000421938802845958	0.000484886817502278	0.00028123325558613	0.000288684940376386	0.000286981534022755	0.000290911633280974	0.000284053311969333	0.000280108741459027	0.000276031624039882	0.000285425469506291	0.000282187271979939	0.000277072826782922	0.00029124593483867
"K00508"	0.000125212827153164	0.000136603212312299	0.000143035049747513	0.000116285710347164	0.000106692161936532	0.000120948003058666	0.000100928496457035	9.63278005033969e-05	7.25725948109114e-05	0.000113958294726154	9.44363213678131e-05	9.81481549705522e-05	9.75646245132146e-05	7.82547806628055e-06	8.9388381067431e-05	1.62585323422855e-05	0.000125484126911509	0.000124801340239478	0.000127147513506425	0.000122552552694333	0.000116420279236271	0.000115914016796647	0.000108898765023412	0.000120888447620353	0.000113313025939721	0.000108675559983226	0.00012698684430358
